overflow_events,rain_mm,impervious_pct,combined_sewer,maintenance_overdue,upstream_construction,catchment_type,rain_c,green_infra_index
5,20.2,57.2,0,0,0,Commercial,-7.759595959595959,50.9
2,11.7,51.1,1,0,0,Commercial,-16.25959595959596,47.4
5,29.8,52.1,0,0,0,Residential,1.8404040404040423,47.9
3,12.5,42.8,0,0,0,Residential,-15.459595959595958,37.8
2,39.8,65.8,0,0,0,Commercial,11.840404040404039,59.0
6,24.7,46.3,0,1,0,Industrial,-3.259595959595959,55.7
3,24.1,31.3,1,0,1,Commercial,-3.859595959595957,48.4
0,25.5,44.7,1,0,0,Residential,-2.4595959595959584,53.9
3,56.1,49.1,0,0,0,Residential,28.140404040404043,51.4
1,65.1,28.7,0,0,0,Commercial,37.140404040404036,47.2
2,21.2,52.8,0,0,0,Residential,-6.759595959595959,54.9
1,37.0,44.6,0,0,1,Residential,9.040404040404042,48.4
1,9.1,29.1,1,0,0,Commercial,-18.859595959595957,48.4
2,42.0,48.2,1,0,1,Residential,14.040404040404042,46.0
3,24.8,19.7,0,0,0,Residential,-3.1595959595959577,52.3
4,23.8,33.5,1,1,1,Residential,-4.159595959595958,49.5
7,28.5,24.2,1,1,0,Commercial,0.5404040404040416,52.7
2,25.5,33.0,0,1,0,Industrial,-2.4595959595959584,47.0
4,31.1,44.1,0,0,0,Residential,3.140404040404043,50.6
4,29.8,38.4,1,0,0,Residential,1.8404040404040423,45.5
0,13.5,55.1,1,0,1,Residential,-14.459595959595958,54.2
2,47.6,68.6,0,0,1,Commercial,19.640404040404043,50.9
2,67.9,34.8,1,0,0,Commercial,39.94040404040405,51.7
3,23.1,42.3,1,0,1,Residential,-4.859595959595957,52.1
3,42.9,57.5,0,1,0,Residential,14.94040404040404,44.9
4,15.6,72.3,0,0,0,Residential,-12.359595959595959,53.9
0,25.7,41.8,0,0,1,Mixed,-2.259595959595959,60.3
4,26.4,47.1,1,1,0,Commercial,-1.5595959595959599,41.8
2,24.7,45.4,0,0,0,Mixed,-3.259595959595959,41.4
0,13.1,50.7,1,0,0,Residential,-14.859595959595959,42.5
12,66.3,52.0,1,1,1,Mixed,38.34040404040404,54.2
2,21.7,33.7,1,1,0,Mixed,-6.259595959595959,50.6
2,19.0,52.0,0,0,0,Industrial,-8.959595959595958,55.4
2,24.5,39.7,1,0,0,Residential,-3.4595959595959584,53.6
4,39.7,62.0,1,0,0,Industrial,11.740404040404044,51.1
5,53.2,66.2,0,1,0,Residential,25.240404040404044,51.4
2,13.4,34.1,1,0,1,Commercial,-14.559595959595958,49.2
2,87.6,39.1,1,1,0,Residential,59.640404040404036,54.3
0,29.8,35.6,0,0,0,Commercial,1.8404040404040423,44.4
1,12.0,62.4,1,0,0,Residential,-15.959595959595958,47.9
2,20.5,37.5,0,1,0,Commercial,-7.4595959595959584,51.2
2,45.3,25.5,1,0,0,Mixed,17.34040404040404,59.0
3,15.7,39.4,0,0,0,Industrial,-12.25959595959596,46.2
2,20.4,62.3,1,0,1,Residential,-7.55959595959596,44.6
6,41.1,42.2,1,1,1,Mixed,13.140404040404043,47.2
1,52.6,33.3,0,0,0,Residential,24.640404040404043,54.8
2,34.7,41.5,0,0,0,Commercial,6.740404040404044,48.8
0,19.4,28.0,1,0,0,Commercial,-8.55959595959596,56.6
6,22.2,77.9,1,0,0,Industrial,-5.759595959595959,40.6
6,21.5,33.3,1,1,0,Residential,-6.4595959595959584,55.6
13,59.3,44.9,1,1,1,Industrial,31.34040404040404,55.2
0,21.1,67.5,1,1,0,Mixed,-6.859595959595957,42.9
1,24.2,5.0,0,0,0,Residential,-3.759595959595959,50.8
3,52.9,35.7,0,0,1,Residential,24.94040404040404,56.1
2,75.4,36.5,0,0,0,Residential,47.44040404040405,50.4
1,11.9,72.0,0,0,1,Residential,-16.05959595959596,55.0
2,19.3,53.0,0,1,0,Mixed,-8.659595959595958,61.9
5,38.1,63.8,1,0,0,Mixed,10.140404040404043,51.4
0,25.3,41.3,0,0,0,Residential,-2.6595959595959577,48.6
1,28.0,13.9,1,1,0,Residential,0.04040404040404155,46.1
1,24.8,29.7,1,0,0,Commercial,-3.1595959595959577,53.2
0,26.7,31.7,0,0,0,Residential,-1.2595959595959592,49.0
1,22.7,56.1,1,0,1,Mixed,-5.259595959595959,49.1
3,63.0,40.3,0,0,0,Industrial,35.04040404040404,49.5
3,57.2,38.5,1,1,0,Commercial,29.240404040404044,53.2
4,49.6,31.7,1,0,1,Residential,21.640404040404043,44.7
6,13.4,26.8,1,1,0,Commercial,-14.559595959595958,42.4
6,43.5,34.8,0,0,0,Mixed,15.540404040404042,37.8
1,13.4,22.3,1,0,0,Mixed,-14.559595959595958,56.0
3,12.9,72.4,0,0,0,Residential,-15.059595959595958,50.4
2,30.8,89.9,1,1,1,Industrial,2.8404040404040423,57.6
1,7.5,14.9,1,0,0,Mixed,-20.45959595959596,50.0
2,22.6,21.1,1,0,0,Commercial,-5.359595959595957,46.3
1,42.8,43.3,1,0,0,Mixed,14.840404040404039,52.4
1,7.2,28.0,0,0,0,Residential,-20.75959595959596,49.6
2,33.7,37.5,1,0,0,Residential,5.740404040404044,43.7
0,15.1,44.4,1,0,0,Residential,-12.859595959595959,45.6
3,30.2,18.3,0,0,0,Commercial,2.240404040404041,58.8
1,13.4,18.6,1,1,1,Mixed,-14.559595959595958,51.8
10,41.7,53.6,1,1,1,Mixed,13.740404040404044,52.1
3,42.6,58.2,0,1,0,Mixed,14.640404040404043,48.6
1,14.1,24.7,0,1,1,Mixed,-13.859595959595959,46.6
5,19.8,49.2,1,1,0,Commercial,-8.159595959595958,54.5
3,19.1,18.4,1,1,0,Mixed,-8.859595959595957,49.5
4,31.1,46.8,1,0,0,Industrial,3.140404040404043,46.2
1,13.8,53.3,0,0,0,Commercial,-14.159595959595958,49.3
8,25.4,62.7,1,1,0,Residential,-2.55959595959596,45.5
3,37.2,9.4,1,0,0,Mixed,9.240404040404044,51.0
4,34.6,5.0,1,0,1,Commercial,6.640404040404043,55.6
